pixel_spacing,count
0.7463046875\0.7463046875 ,2
0.76733984375\0.76733984375 ,2
0.81108984375\0.81108984375 ,2
0.865234375\0.865234375 ,2
0.7837109375\0.7837109375 ,2
0.578125\0.578125 ,2
0.885984375\0.885984375 ,2
0.8441484375\0.8441484375 ,2
0.7053359375\0.7053359375 ,2
0.66101171875\0.66101171875 ,2
0.7103125\0.7103125 ,2
0.7998046875\0.7998046875 ,2
0.67519921875\0.67519921875 ,2
0.82391796875\0.82391796875 ,2
0.72509765625\0.72509765625 ,2
0.62118359375\0.62118359375 ,2
0.83736328125\0.83736328125 ,2
0.6408671875\0.6408671875 ,2
0.615921875\0.615921875 ,2
0.53428125\0.53428125 ,2
0.78079296875\0.78079296875 ,2
0.70518359375\0.70518359375 ,2
0.66490234375\0.66490234375 ,2
0.6725390625\0.6725390625 ,1
0.626953125\0.626953125 ,1
0.68241015625\0.68241015625 ,1
0.57506640625\0.57506640625 ,1
0.9181953125\0.9181953125 ,1
0.63976953125\0.63976953125 ,1
0.9161875\0.9161875 ,1
0.88191796875\0.88191796875 ,1
0.825296875\0.825296875 ,1
0.8115234375\0.8115234375 ,1
0.715546875\0.715546875 ,1
0.7862734375\0.7862734375 ,1
0.88345703125\0.88345703125 ,1
0.92714453125\0.92714453125 ,1
0.64048828125\0.64048828125 ,1
0.72138671875\0.72138671875 ,1
0.6517421875\0.6517421875 ,1
0.59551171875\0.59551171875 ,1
0.723265625\0.723265625 ,1
0.7728046875\0.7728046875 ,1
0.84682421875\0.84682421875 ,1
0.85809765625\0.85809765625 ,1
0.615015625\0.615015625 ,1
0.9215390625\0.9215390625 ,1
0.7174921875\0.7174921875 ,1
0.7335234375\0.7335234375 ,1
0.78856640625\0.78856640625 ,1
0.87890625\0.87890625 ,1
0.7355\0.7355 ,1
0.73608984375\0.73608984375 ,1
0.7826015625\0.7826015625 ,1
0.733234375\0.733234375 ,1
0.7772890625\0.7772890625 ,1
0.763609375\0.763609375 ,1
0.8359609375\0.8359609375 ,1
0.74432421875\0.74432421875 ,1
0.69709375\0.69709375 ,1
0.68262109375\0.68262109375 ,1
0.78905859375\0.78905859375 ,1
0.84175\0.84175 ,1
0.92274609375\0.92274609375 ,1
0.82346484375\0.82346484375 ,1
0.7630546875\0.7630546875 ,1
0.8782109375\0.8782109375 ,1
0.70521484375\0.70521484375 ,1
0.7160078125\0.7160078125 ,1
0.85370703125\0.85370703125 ,1
0.87601171875\0.87601171875 ,1
0.661125\0.661125 ,1
0.69033984375\0.69033984375 ,1
0.80966796875\0.80966796875 ,1
0.80915625\0.80915625 ,1
0.8327109375\0.8327109375 ,1
0.78337890625\0.78337890625 ,1
0.778546875\0.778546875 ,1
0.79422265625\0.79422265625 ,1
0.80209765625\0.80209765625 ,1
0.8171171875\0.8171171875 ,1
0.65114453125\0.65114453125 ,1
0.9651953125\0.9651953125 ,1
0.835\0.835 ,1
0.7118359375\0.7118359375 ,1
0.800171875\0.800171875 ,1
0.8411484375\0.8411484375 ,1
0.6464375\0.6464375 ,1
0.7132265625\0.7132265625 ,1
0.73778125\0.73778125 ,1
0.75897265625\0.75897265625 ,1
0.76667578125\0.76667578125 ,1
0.7611484375\0.7611484375 ,1
0.6664375\0.6664375 ,1
0.65185546875\0.65185546875 ,1
0.87907421875\0.87907421875 ,1
0.87371484375\0.87371484375 ,1
0.78762109375\0.78762109375 ,1
0.90843359375\0.90843359375 ,1
0.7267109375\0.7267109375 ,1
0.72130078125\0.72130078125 ,1
0.74641796875\0.74641796875 ,1
0.731265625\0.731265625 ,1
0.77337890625\0.77337890625 ,1
0.78423046875\0.78423046875 ,1
0.783\0.783 ,1
0.7040625\0.7040625 ,1
0.796828125\0.796828125 ,1
0.68242578125\0.68242578125 ,1
0.80871875\0.80871875 ,1
0.76665234375\0.76665234375 ,1
