reconstruction_diameter,count
382.108949152542,2
392.878110731 ,2
415.278482900458,2
443 ,2
296 ,2
453.624 ,2
338.437164705882,2
409.5 ,2
432.20301840491 ,2
361.13236754967 ,2
363.679597560976,2
315.351171548118,2
273.552 ,2
345.702485549134,2
421.84531105991 ,2
371.25,2
318.04659893048 ,2
428.73046875,2
328.124756756758,2
340.429435135136,2
361.054509036144,2
399.76522894737 ,2
470.115266763 ,1
294.433484455958,1
344.339238887 ,1
321 ,1
349.394401554402,1
395.676943647 ,1
433.57357621951 ,1
327.5616524 ,1
469.087643891 ,1
451.542904054 ,1
422.552764892578,1
415.5 ,1
366.360854540296,1
402.572631835 ,1
452.329148892 ,1
474.698950415 ,1
327.929322033898,1
369.350422860356,1
333.691282383418,1
304.902230569946,1
370.31195121951 ,1
314.888390831 ,1
439.345640762 ,1
401.259118912 ,1
471.828505992 ,1
401.259950541 ,1
367.355254551 ,1
375.564310518 ,1
403.745993902438,1
450 ,1
376.576464983 ,1
376.877889903 ,1
400.692669856 ,1
375.415736842106,1
397.971801757 ,1
390.967119617 ,1
428.012535216 ,1
381.09375 ,1
356.91252144,1
349.502572898 ,1
403.997692664 ,1
430.975438301 ,1
472.445763656 ,1
421.614167752 ,1
390.683400641026,1
449.644912173 ,1
361.070214301 ,1
366.596799214 ,1
437.097915708 ,1
448.517982568 ,1
338.496 ,1
353.45496887967 ,1
414.550014450868,1
414.287959889 ,1
426.347445512822,1
401.089446544646,1
398.615584589 ,1
406.641401728 ,1
410.673377037 ,1
418.363889716 ,1
333.386995839074,1
494.180329862 ,1
427.519122751 ,1
364.459691252 ,1
409.687144385026,1
430.668710001 ,1
330.976317142858,1
365.172313647788,1
377.744355311 ,1
388.593409902 ,1
392.538520663 ,1
389.708404802 ,1
341.216212799 ,1
333.75,1
450.085763293 ,1
447.341337907 ,1
403.262294529 ,1
465.1171875 ,1
372.075103078 ,1
369.305070139776,1
382.166143879 ,1
374.407862345 ,1
395.969125214 ,1
401.52658662,1
400.896036197 ,1
360.479828096 ,1
407.975481122 ,1
349.401551798 ,1
414.064769883 ,1
392.52581208291 ,1
